序号,电影名字,电影评分,电影短评,播放状态,免费播放资源,播放链接,电影详细资料
78,大鱼,8.7,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,可播放,芒果 TV,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.mgtv.com%2Fh%2F46755.html%3Fcxid%3D94l62sj44&amp;subtype=7&amp;type=online-video&amp;link2key=9cdeef4aa7,https://movie.douban.com/subject/1291545/
79,让子弹飞,8.7,你给我翻译翻译，神马叫做TMD的惊喜。,可播放,爱奇艺视频,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fdianying%2F20110208%2Fc400871a16e3fc1b.html%3Fvfm%3Dm_331_dbdy&amp;subtype=9&amp;type=online-video&amp;link2key=039da01503,https://movie.douban.com/subject/3742360/
80,素媛,9.1,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,不可播放,,,https://movie.douban.com/subject/21937452/
81,射雕英雄传之东成西就,8.7,百看不厌。 ,可播放,付费,,https://movie.douban.com/subject/1316510/
82,阳光姐妹淘,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XODMzNzkwMzA4.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/4917726/
83,大闹天宫,9.2,经典之作，历久弥新。,可播放,腾讯视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F63hlfa8yfrs1yza.html%3Fptag%3Ddouban.movie&amp;subtype=1&amp;type=online-video,https://movie.douban.com/subject/1418019/
84,上帝之城,8.9,被上帝抛弃了的上帝之城。,不可播放,,,https://movie.douban.com/subject/1292208/
85,春光乍泄,8.7,爱情纠缠，男女一致。,不可播放,,,https://movie.douban.com/subject/1292679/
86,重庆森林,8.6,寂寞没有期限。,可播放,爱奇艺视频,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrho3e0w.html%3Fvfm%3Dm_331_dbdy&amp;subtype=9&amp;type=online-video&amp;link2key=a60c2a4e30,https://movie.douban.com/subject/1291999/
87,禁闭岛,8.6,昔日翩翩少年，今日大腹便便。,可播放,付费,,https://movie.douban.com/subject/2334904/
88,甜蜜蜜,8.7,逢只要一瞬间，等待却像是一辈子。,不可播放,,,https://movie.douban.com/subject/1305164/
89,致命ID,8.6,最不可能的那个人永远是最可能的。,可播放,付费,,https://movie.douban.com/subject/1297192/
90,告白,8.6,没有一人完全善，也没有一人完全恶。,不可播放,,,https://movie.douban.com/subject/4268598/
91,萤火虫之墓,8.7,幸福是生生不息，却难以触及的远。 ,可播放,腾讯视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fcover%2Fn%2Fn4qq7jded2ypsfi.html%3Fptag%3Ddouban.movie&amp;subtype=1&amp;type=online-video,https://movie.douban.com/subject/1293318/
92,一一,8.9,我们都曾经是一一。,不可播放,,,https://movie.douban.com/subject/1292434/
93,加勒比海盗,8.6,约翰尼·德普的独角戏。,可播放,付费,,https://movie.douban.com/subject/1298070/
94,爱在黎明破晓前,8.7,缘分是个连绵词，最美不过一瞬。,可播放,付费,,https://movie.douban.com/subject/1296339/
95,风之谷,8.8,动画片的圣经。,可播放,付费,,https://movie.douban.com/subject/1291585/
96,阿凡达,8.6,绝对意义上的美轮美奂。,可播放,付费,,https://movie.douban.com/subject/1652587/
97,爱在日落黄昏时,8.7,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,可播放,爱奇艺视频,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fdianying%2F20110512%2Fab7e6e5cdd9be4c8.html%3Fvfm%3Dm_331_dbdy&amp;subtype=9&amp;type=online-video&amp;link2key=6922d7d7c7,https://movie.douban.com/subject/1291990/
98,侧耳倾听,8.8,少女情怀总是诗。,可播放,付费,,https://movie.douban.com/subject/1297052/
99,断背山,8.5,每个人心中都有一座断背山。,可播放,付费,,https://movie.douban.com/subject/1418834/
100,布达佩斯大饭店,8.7,小清新的故事里注入了大历史的情怀。,可播放,付费,,https://movie.douban.com/subject/11525673/
101,驯龙高手,8.7,和谐的生活离不开摸头与被摸头。,可播放,付费,,https://movie.douban.com/subject/2353023/
102,猫鼠游戏,8.7,骗子大师和执著警探的你追我跑故事。 ,可播放,付费,,https://movie.douban.com/subject/1305487/
103,狩猎,9.0,人言可畏。,可播放,优酷视频,https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTg2NDAwMjQ0.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video,https://movie.douban.com/subject/6985810/
